DAY_NUMBER,MONTH,MONTH_NUM,DATE,CO,OZONE,NO2,SO2,PM2.5,TEMP,CO_AQI,OZONE_AQI,NO2_AQI,SO2_AQI,PM2.5_AQI,AQI_AVG,STATUS
169,JUN,6,17-06-2016 00:00,21.01,18.15,16.01,7.0,38.74,32.74,347.9405882352941,18.15,20.012500000000003,8.75,38.74,86.71861764705882,0
170,JUN,6,18-06-2016 00:00,9.55,27.0,11.12,5.69,36.95,32.45,200.5,27.0,13.899999999999999,7.112500000000001,36.95,57.09250000000001,0
171,JUN,6,19-06-2016 00:00,7.74,36.26,9.79,4.93,36.43,32.26,176.32617449664428,36.26,12.237499999999999,6.1625,36.43,53.48323489932885,0
175,JUN,6,23-06-2016 00:00,36.65,10.13,28.54,9.77,48.96,31.84,531.0205882352941,10.13,35.675,12.212499999999999,48.96,127.5996176470588,0
179,JUN,6,27-06-2016 00:00,0.97,27.18,22.01,4.32,38.86,29.73,48.5,27.18,27.512500000000003,5.4,38.86,29.490500000000004,0
181,JUN,6,29-06-2016 00:00,1.23,3.87,30.66,3.13,48.01,28.76,61.5,3.87,38.325,3.9124999999999996,48.01,31.1235,0
184,JUL,7,02-07-2016 00:00,26.61,21.4,15.68,9.85,47.79,31.65,413.4935294117647,21.4,19.6,12.3125,47.79,102.91920588235294,0
185,JUL,7,03-07-2016 00:00,1.33,16.24,12.83,11.26,31.53,30.21,66.5,16.24,16.0375,14.075,31.53,28.8765,0
187,JUL,7,05-07-2016 00:00,10.67,5.6,20.34,7.0,19.46,30.34,215.45838926174497,5.6,25.425,8.75,19.46,54.938677852348995,0
188,JUL,7,06-07-2016 00:00,51.13,12.27,13.22,7.0,19.0,29.86,700.5217647058823,12.27,16.525000000000002,8.75,19.0,151.41335294117647,0
195,JUL,7,13-07-2016 00:00,0.55,33.29,11.44,7.27,27.15,31.77,27.500000000000004,33.29,14.299999999999999,9.087499999999999,27.15,22.265500000000003,0
197,JUL,7,15-07-2016 00:00,0.66,31.5,12.94,6.78,26.25,30.87,33.0,31.5,16.175,8.475,26.25,23.08,0
198,JUL,7,16-07-2016 00:00,0.67,26.74,13.78,6.6,29.96,29.49,33.5,26.74,17.224999999999998,8.25,29.96,23.134999999999998,0
199,JUL,7,17-07-2016 00:00,75.34,26.89,10.86,6.64,36.8,29.15,983.9211764705882,26.89,13.575,8.299999999999999,36.8,213.89723529411762,0
200,JUL,7,18-07-2016 00:00,0.66,18.01,13.58,6.75,17.75,28.38,33.0,18.01,16.975,8.4375,17.75,18.834500000000002,0
